id;date;details;status;payment_method;payment_date;payment_amount
1;2020-01-28T21:58:26;RAM Focused;PAID;CASH_ON_DELIVERY;2020-01-29T06:20:33;64379
2;2020-01-28T18:48:32;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2020-01-28T23:58:50;17323
3;2020-01-28T23:15:57;Incredible Baby;CANCELLED;PAYPAL;2020-01-29T02:47:38;11017
4;2020-01-28T20:45:52;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2020-01-28T20:50:00;51438
5;2020-01-28T15:26:00;function;PAID;PAYPAL;2020-01-29T08:00:05;32278
6;2020-01-28T16:25:48;action-items;CANCELLED;CASH_ON_DELIVERY;2020-01-29T06:13:00;5232
7;2020-01-29T09:12:31;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2020-01-29T02:49:53;62169
8;2020-01-28T19:07:35;Toys;ISSUED;PAYPAL;2020-01-29T05:45:32;10756
9;2020-01-28T20:38:00;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2020-01-29T10:21:33;58055
10;2020-01-28T19:15:45;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2020-01-29T07:41:56;94075
