id;placed_date;status;code
1;2020-01-29T05:22:24;COMPLETED;Georgia calculate withdrawal
2;2020-01-28T16:18:54;COMPLETED;compress Steel out-of-the-box
3;2020-01-28T17:50:06;PENDING;Concrete
4;2020-01-29T07:16:01;CANCELLED;Investment Account
5;2020-01-28T18:32:51;PENDING;United States of America
6;2020-01-29T08:44:55;CANCELLED;IB Industrial Credit Card Account
7;2020-01-29T11:51:20;CANCELLED;Cotton Egyptian Pound
8;2020-01-28T20:47:24;COMPLETED;Home Loan Account
9;2020-01-29T05:41:40;COMPLETED;Human
10;2020-01-28T15:50:18;CANCELLED;payment
